!EXCLAMATION-POINT = éksklemēśenpōnt
HANDSHAKING = hándśēkiŋ
HANDSOME = hánsem
HANDSOMELY = hánsemli
HANDSTAND = hándstánd
HANDSTANDS = hándstándz
HANDWERK = hándwerk
HANDWERKER = hándwerker
HANDWOVEN = hándwòven
HANDWOVEN(1) = hánwòven
HANDWRITING = hándrātiŋ
HANDWRITTEN = hándriten
HANDY = hándi
HANDYMAN = hándimán
HANDYMEN = hándimén
HANE = hēn
HANEDA = henēde
HANEL = hánel
HANELINE = hánilān
HANEMANN = hēnmen
HANER = hēner
HANES = hēnz
HANEY = hēni
HANF = hánf
HANFORD = hánferd
HANFT = hánft
HANG = háŋ
HANGAR = háŋer
HANGARS = háŋerz
HANGARTNER = háŋgertner
HANGED = háŋd
HANGEN = háŋen
HANGER = háŋer
HANGERS = háŋerz
HANGIN' = háŋgin
HANGING = háŋiŋ
HANGING(1) = háŋgiŋ
HANGINGS = háŋgiŋz
HANGMAN = háŋmen
HANGOUT = háŋàt
HANGOUTS = háŋàts
HANGOVER = háŋòver
HANGOVERS = háŋòverz
HANGS = háŋz
HANGSANG = háŋsáŋ
HANGSANG'S = háŋsáŋz
HANGUL = hángul
HANGUP = háŋgap
HANGUPS = háŋgaps
HANI = háni
HANI'S = hániz
HANIFEN = hánifen
HANIFIN = hánifin
HANIGAN = hánigen
HANING = hēniŋ
HANISCH = hániś
HANISEE = hánisi
HANISH = hániś
HANJIN = hánjin
HANK = háŋk
HANK'S = hánks
HANKE = háŋk
HANKEL = háŋkel
HANKEN = háŋken
HANKER = háŋker
HANKERING = háŋkeriŋ
HANKERSON = háŋkersen
HANKES = háŋks
HANKEY = háŋki
HANKIN = háŋkin
HANKINS = háŋkinz
HANKINSON = háŋkinsen
HANKLA = háŋkle
HANKO = háŋkò
HANKS = háŋks
HANKY = háŋki
HANLEY = hánli
HANLEY'S = hánliz
HANLIN = hánlin
HANLON = hánlen
HANLY = hánli
HANMER = hánmer
HANN = hán
HANNA = háne
HANNA'S = hánez
HANNAFORD = háneferd
HANNAGAN = hánegen
HANNAH = háne
HANNAHS = hánez
HANNAM = hánem
HANNAMAN = hánemen
HANNAN = hánen
HANNAY = hánē
HANNEKEN = hániken
HANNEMAN = hánmen
HANNEMANN = hánmen
HANNEN = hánen
HANNER = háner
HANNERS = hánerz
HANNES = hánz
HANNESSON = hánesen
HANNEY = háni
HANNI = háni
HANNIBAL = hánibel
HANNIE = háni
HANNIFIN = hánifin
HANNIG = hánig
HANNIGAN = hánigen
HANNING = hániŋ
HANNIS = hánis
HANNITY = hániti
HANNOCH = hánek
HANNOLD = hánòld
HANNON = hánen
HANNULA = hánúle
HANNUM = hánem
HANNY = háni
HANO = hanò
HANOI = hánō
HANOI'S = henōz
HANOLD = hánòld
HANOVER = hánòver
HANOVER'S = hánòverz
HANOVERIAN = hánòvirien
HANRAHAN = hánrehen
HANRATTY = hánreti
HANS = hans
HANS(1) = hánz
HANSA = hánse
HANSARD = hánserd
HANSBERGER = hánsberger
HANSBERRY = hánsbéri
HANSBROUGH = hánsbrà
HANSBURY = hánsbéri
HANSCHE = hánśi
HANSCOM = hánskem
HANSEATIC = hánsiátik
HANSEL = hánsel
HANSELL = hánsel
HANSELMAN = hánselmen
HANSEN = hánsen
HANSEN'S = hánsenz
HANSER = hanser
HANSFORD = hánsferd
HANSHAW = hánśó
HANSHEW = hánśú
HANSHIN = hánśin
HANSLEY = hánsli
HANSMA = hánsme
HANSMAN = hánsmen
HANSMANN = hánsmen
HANSOM = hánsem
HANSON = hánsen
HANSON'S = hánsenz
HANSSEN = hánsen
HANSSON = hánsen
HANTA = hánte
HANTA(1) = hante
HANTAVIRUS = hántevāres
HANTEN = hánten
HANTHORN = hánŧern
HANTMAN = hántmen
HANTZ = hánts
HANUKKAH = haneke
HANUKKAH'S = hanekez
HANUKKAHS = hanekez
HANUS = hēnis
HANVEY = hánvi
HANWA = hánwe
HANWA'S = hánwez
HANWAY = hánwē
HANY = hēni
HANY'S = hēniz
HANZEL = hánzel
HANZLIK = hánzlik
HAO = hà
HAO-CHI = hàcí
HAP = háp
HAPAG = hēpág
HAPEMAN = hēpmen
HAPGOOD = hápgud
HAPHAZARD = hepházerd
HAPHAZARDLY = háfezerdli
HAPHAZARDLY(1) = hepházerdli
HAPKE = hēpki
HAPLESS = háples
HAPLOID = háplōd
HAPNER = hápner
HAPOALIM = hepòelim
HAPOALIM(1) = hepòelím
HAPP = háp
HAPPE = háp
HAPPEL = hápel
HAPPEN = hápen
HAPPENED = hápend
HAPPENING = hápeniŋ
HAPPENING(1) = hápniŋ
HAPPENINGS = hápeniŋz
HAPPENINGS(1) = hápniŋz
HAPPENS = hápenz
HAPPENSTANCE = hápenstáns
HAPPIER = hápier
HAPPIEST = hápiest
HAPPILY = hápeli
HAPPINESS = hápines
HAPPY = hápi
HAPSBURG = hápsberg
HAQ = hák
HAQ'S = háks
HAQUE = hák
HAR = har
HARA = hére
HARA-KIRI = harikiri
HARADA = herade
HARADIM = herádim
HARADIM(1) = herádím
HARAHAN = hárehán
HARALD = hareld
HARALDA = heralde
HARALSON = hárelsen
HARAN = háren
HARANGUE = heráŋ
HARANGUED = heráŋd
HARANGUES = heráŋz
HARANGUING = heráŋiŋ
HARARE = herari
HARASS = herás
HARASSED = herást
HARASSER = heráser
HARASSERS = heráserz
HARASSES = herásiz
HARASSING = herásiŋ
HARASSMENT = herásment
HARASZTI = herásti
HARAWAY = harewē
HARB = harb
HARBACH = harbak
HARBAUGH = harbó
HARBECK = harbék
HARBER = harber
HARBERT = harbert
HARBERTS = harberts
HARBESON = harbisen
HARBIN = harbin
HARBINGER = harbinjer
HARBINGERS = harbiŋerz
HARBINSON = harbinsen
HARBISON = harbisen
HARBOLD = harbòld
HARBOR = harber
HARBOR'S = harberz
HARBORED = harberd
HARBORING = harberiŋ
HARBORS = harberz
HARBORSIDE = harbersād
HARBORY = harberi
HARBOUR = harber
HARBUCK = harbek
HARBURY = harberi
HARC = hark
HARCLERODE = harkeleròd
HARCLERODE(1) = harkleròd
HARCOURT = harkort
HARCOURT'S = harkerts
HARCROW = harkrò
HARCUM = harkem
HARD = hard
HARD-ASS = hardás
HARD-WORKING = hardwerkiŋ
HARDACRE = hardēker
HARDAGE = hardij
HARDART = hardart
HARDAWAY = hardewē
HARDBACK = hardbák
HARDBALL = hardból
HARDBOARD = hardbord
HARDCASTLE = hardkásel
HARDCASTLE'S = hardkáselz
HARDCORE = hardkor
HARDCOVER = hardkaver
HARDCOVERS = hardkaverz
HARDEBECK = hardbék
HARDEE = hardí
HARDEE'S = hardíz
HARDEGREE = herdigrí
HARDEMAN = hardmen
HARDEN = harden
HARDEN'S = hardenz
HARDENBROOK = hardenbruk
HARDENED = hardend
HARDENER = hardener
HARDENERS = hardenerz
HARDENING = hardeniŋ
HARDENING(1) = hardniŋ
HARDENS = hardenz
HARDER = harder
HARDERS = harderz
HARDEST = hardest
HARDESTY = hardesti
HARDEY = hardi
HARDGOOD = hardgud
HARDGOODS = hardgudz
HARDGRAVE = hardgrēv
HARDGROVE = hardgròv
HARDHEAD = hardhéd
HARDHEADED = hardhédid
HARDICK = hardik
HARDIE = hardi
HARDIER = hardier
HARDIEST = hardiest
HARDIGREE = herdigrí
HARDIMAN = hardimen
HARDIMON = hardimen
HARDIN = hardin
HARDING = hardiŋ
HARDING'S = hardiŋs
HARDINGER = hardiŋer
HARDISON = hardisen
HARDISTER = hardister
HARDISTY = hardisti
HARDLINE = hardlān
HARDLINER = hardlāner
HARDLINERS = hardlānerz
HARDLY = hardli
HARDMAN = hardmen
HARDNESS = hardnes
HARDNETT = hardnit
HARDPRESSED = hardprést
HARDRICK = hardrik
HARDS = hardz
HARDSCRABBLE = hardskrábel
HARDSHIP = hardśip
HARDSHIPS = hardśips
HARDT = hart
HARDTKE = hardki
HARDWARE = hardwér
HARDWAY = hardwē
HARDWICK = hardwik
HARDWICKE = hardwik
HARDWIN = hardwin
HARDWIRED = hardwāerd
HARDWOOD = hardwud
HARDWOODS = hardwudz
HARDWORK = hardwerk
HARDWORKING = hardwerkiŋ
HARDY = hardi
HARDY'S = hardiz
HARDYMON = hardimon
HARE = hér
HARE'S = hérz
HAREBRAINED = hérbrēnd
HARELSON = hárilsen
HAREM = hérem
HAREN = héren
HARER = hérer
HARES = hérz
HAREWOOD = hérwud
HARFF = harf
HARFORD = harferd
HARGADON = hergedón
HARGAN = hargen
HARGARTEN = hargerten
HARGENS = hargenz
HARGER = harger
HARGETT = harjit
HARGIS = hargis
HARGRAVE = hargrēv
HARGRAVES = hargrēvz
HARGREAVES = hargrívz
HARGROVE = hargròv
HARGUS = harges
HARI = hari
HARIG = hárig
HARIMA = héríme
HARING = hériŋ
HARIRI = heriri
HARIS = haris
HARIS(1) = héris
HARITOS = hérítòs
HARIZ = hériz
HARJO = harjò
HARJU = haryú
HARK = hark
HARKAVY = harkevi
HARKE = hark
HARKEN = harken
HARKENS = harkenz
HARKER = harker
HARKEY = harki
HARKIN = harkin
HARKIN'S = harkinz
HARKING = harkiŋ
HARKINS = harkinz
HARKLEROAD = harkleròd
HARKLESS = harkles
HARKNESS = harknes
HARKRADER = harkreder
HARKRIDER = harkrāder
HARKS = harks
HARL = harl
HARLACHER = harleker
HARLAN = harlen
HARLAND = harlend
HARLE = harel
HARLEM = harlem
HARLEM'S = harlemz
HARLEMAN = harelmen
HARLEQUIN = harlekwen
HARLESS = harlis
HARLEY = harli
HARLEY'S = harliz
HARLEYSVILLE = harlizvil
HARLIN = harlin
HARLIN'S = harlinz
HARLING = harliŋ
HARLINGEN = harliŋen
HARLISON = harlisen
HARLOFF = harlóf
HARLOT = harlet
HARLOW = harlò
HARM = harm
HARM'S = harmz
HARMAN = harmen
HARMATA = hermate
HARMATTAN = harmetán
HARMED = harmd
HARMEL = harmel
HARMEN = harmen
HARMENING = harmeniŋ
HARMER = harmer
HARMES = harmz
HARMETZ = harméts
HARMEYER = harmāer
HARMFUL = harmfel
HARMFULLY = harmfeli
HARMFULNESS = harmfelnes
HARMING = harmiŋ
HARMISON = harmisen
HARMLESS = harmles
HARMLESSLY = harmlesli
HARMON = harmen
HARMON'S = harmenz
HARMONIA = hermònie
HARMONIC = hermonik
HARMONICA = hermonike
HARMONICS = hermoniks
HARMONIE = harmeni
HARMONIES = harmeniz
HARMONIOUS = hermònies
HARMONIOUSLY = hermòniesli
HARMONIUM = hermòniem
HARMONIZATION = harmenizēśen
HARMONIZE = harmenāz
HARMONIZED = harmenāzd
HARMONIZES = harmenāziz
HARMONIZING = harmenāziŋ
HARMONY = harmeni
HARMS = harmz
HARMSEN = harmsen
HARN = harn
HARNACK = harnek
HARNAGE = harnij
HARNDEN = harnden
HARNE = harn
HARNED = harnd
HARNER = harner
HARNESS = harnes
HARNESS(1) = harnis
HARNESSED = harnest
HARNESSES = harnesez
HARNESSES(1) = harnesiz
HARNESSING = harnesiŋ
HARNETT = harnit
HARNEY = harni
HARNISCH = harniś
HARNISCHFEGER = harniśféger
HARNISCHFEGER'S = harniśfégerz
HARNISH = harniś
HARNOIS = hernwa
HARO = harò
HAROLD = héreld
HAROLD'S = héreldz
HAROLDSON = háròldsen
HARP = harp
HARPE = harp
HARPED = harpt
HARPEL = herpél
HARPENAU = harpinò
HARPER = harper
HARPER'S = harperz
HARPERCOLLINS = harperkólinz
HARPERS = harperz
HARPHAM = harfem
HARPIN = herpán
HARPING = harpiŋ
HARPIST = harpist
HARPISTS = harpists
HARPLEY = harpli
HARPO = harpò
HARPOLD = harpòld
HARPOLE = harpòl
HARPOON = herpún
HARPOONS = herpúnz
HARPOOTLIAN = herpútlien
HARPS = harps
HARPSICHORD = harpsekord
HARPST = harpst
HARPSTER = harpster
HARQUEBUS = harkwebes
HARR = hár
HARRA = hare
HARRAH = háre
HARRAH'S = hérez
HARRAL = hárel
HARRALSON = hárelsen
HARRE = hár
HARREL = hárel
HARRELD = hárild
HARRELL = hérel
HARRELL'S = hárelz
HARRELSON = hérilsen
HARREN = háren
HARRER = harer
HARRIED = hérid
HARRIER = hérier
HARRIES = hériz
HARRIET = hériet
HARRIETTE = háriét
HARRIGAN = hérigen
HARRIGER = háriger
HARRILL = hárel
HARRIMAN = hérimen
HARRING = háriŋ
HARRINGTON = hériŋten
HARRIOTT = háriet
HARRIS = héris
HARRIS' = héris
HARRIS'S = hérisiz
HARRISBURG = hárisberg
HARRISBURG(1) = hérisberg
HARRISBURG'S = hárisbergz
HARRISBURG'S(1) = hérisbergz
HARRISBURGH = hárisberg
HARRISBURGH(1) = hérisberg
HARRISBURGH'S = hárisbergz
HARRISBURGH'S(1) = hérisbergz
HARRISES = hárisiz
HARRISON = hérisen
HARRISON'S = hérisenz
HARRISS = háris
HARRITY = háriti
HARROD = héred
HARROD'S = héredz
HARRODS = héredz
HARROLD = héreld
HARRON = háren
HARROP = hérep
HARROUN = herún
HARROW = hárò
HARROWER = háròwer
HARROWING = héròiŋ
HARRY = héri
HARRY'S = hériz
HARRYMAN = hárimen
HARSCH = harś
HARSCO = harskò
HARSH = harś
HARSHA = harśe
HARSHAM = harśem
HARSHAW = harśó
HARSHBARGER = harśbarger
HARSHBERGER = harśberger
HARSHER = harśer
HARSHEST = harśest
HARSHFIELD = harśfíld
HARSHLY = harśli
HARSHMAN = harśmen
HARSHNESS = harśnes
HARSTAD = harsted
HARSTON = harsten
HART = hart
HART'S = harts
HARTE = hart
HARTEL = hartel
HARTELL = hartel
HARTEN = harten
HARTENSTEIN = hartenstān
HARTENSTEIN(1) = hartenstín
HARTER = harter
HARTFIEL = hartfíl
HARTFIELD = hartfíld
HARTFORD = hartferd
HARTFORD'S = hartferdz
HARTGRAVES = hartgrēvz
HARTGROVE = hartgròv
HARTH = harŧ
HARTIG = hartig
HARTIGAN = hartigen
HARTIN = hartin
HARTING = hartiŋ
HARTINGER = hartiŋer
HARTIS = hartis
HARTJE = hartjē
HARTKE = hartki
HARTKOPF = hartkóf
HARTL = hartel
HARTLAGE = hartlij
HARTLAND = hartlend
HARTLAUB = hartlàb
HARTLE = hartel
HARTLESS = hartles
HARTLEY = hartli
HARTLIEB = hartlíb
HARTLINE = hartlān
HARTLING = hartliŋ
HARTMAN = hartmen
HARTMANN = hartmen
HARTMARX = hartmarks
HARTNELL = hartnel
HARTNER = hartner
HARTNESS = hartnes
HARTNETT = hartnit
HARTNEY = hartni
HARTOG = harteg
HARTON = harten
HARTONG = hartóŋ
HARTRANFT = hartranft
HARTS = harts
HARTSELL = hartsel
HARTSFIELD = hartsfíld
HARTSHORN = hartshorn
HARTSHORNE = harcern
HARTSOCK = hartsek
HARTSOE = hartsò
HARTSON = hartsen
HARTSOOK = hartsuk
HARTSOUGH = hartsà
HARTSTEIN = hartstān
HARTSTEIN(1) = hartstín
HARTSVILLE = hartsvil
HARTT = hart
HARTTER = harter
HARTUNG = harteŋ
HARTWELL = hartwél
HARTWICK = hartwik
HARTWIG = hartwik
HARTWOOD = hartwud
HARTY = harti
HARTZ = harts
HARTZEL = hartzel
HARTZELL = hartzel
HARTZLER = hartsler
HARTZOG = hartzeg
HARUO = herúò
HARV = harv
HARVARD = harverd
HARVARD'S = harverdz
HARVATH = harveŧ
HARVE = harv
HARVEL = harvel
HARVELL = harvel
HARVEST = harvest
HARVESTABLE = harvestebel
HARVESTED = harvestid
HARVESTER = harvester
HARVESTERS = harvesterz
HARVESTING = harvestiŋ
HARVESTS = harvests
HARVEY = harvi
HARVEY'S = harviz
HARVIE = harvi
HARVILL = harvil
HARVILLE = harvil
HARVIN = harvin
HARVISON = harvisen
HARWARD = harwerd
HARWELL = harwél
HARWICK = harwik
HARWOOD = harwud
HARYANA = héryane
HAS = ház
HAS(1) = hez
HAS-BEEN = házbin
HAS-BEENS = házbinz
HASAN = hasan
HASBRO = házbrò
HASBRO'S = házbròz
HASBROOK = hásbruk
HASBROUCK = házbruk
HASCALL = háskel
HASCH = háś
HASCHKE = háśk
HASE = hēz
HASEGAWA = hasēgawe
HASEK = hasék
HASELDEN = hásilden
HASELEY = hásili
HASELHORST = hásilhorst
HASELTINE = hásiltin
HASELTON = hesélten
HASEMAN = hēsmen
HASENAUER = hásinàer
HASENFUS = hēzenfas
HASER = hézer
HASH = háś
HASHAGEN = háśegen
HASHED = háśt
HASHEM = háśim
HASHEMI = heśēmi
HASHEMITE = háśemāt
HASHER = háśer
HASHER'S = háśerz
HASHERS = háśerz
HASHES = háśez
HASHI = háśí
HASHIM = háśim
HASHIMOTO = heśimòtò
HASHING = háśiŋ
HASHISH = heśíś
HASHMAN = háśmen
HASHMARK = háśmark
HASHMI = háśmi
HASHMI(1) = haśmi
HASHTAG = háśtág
HASID = hesid
HASIDIC = hesidik
HASIDIC(1) = hesídik
HASIDIM = hesidim
HASIDIM(1) = hesídim
HASIDS = hesidz
HASKE = hēsk
HASKELL = háskel
HASKETT = háskit
HASKEW = háskyú
HASKIN = háskin
HASKINS = háskinz
HASLAM = háslem
HASLER = háseler
HASLER(1) = hásler
HASLETT = háslit
HASLEY = házli
HASMAN = hásmen
HASN'T = házent
HASO = hasò
HASO'S = hasòz
HASPEL = háspel
HASS = hás
HASSAN = hesan
HASSE = has
HASSEBROCK = hásibrok
HASSEL = hásel
HASSELBACH = hásilbek
HASSELBRING = hásilbriŋ
HASSELL = hásel
HASSELMAN = háselmen
HASSEN = hásen
HASSENBERG = hásenberg
HASSENFELD = hásenféld
HASSETT = hásit
HASSEY = hási
HASSIG = hásig
HASSING = hásiŋ
HASSINGER = hásinjer
HASSLE = hásel
HASSLED = háseld
HASSLER = hásler
HASSLES = háselz
HASSLING = háseliŋ
HASSLING(1) = hásliŋ
HASSMAN = hásmen
HASSON = hásen
HAST = hást
HASTA = háste
HASTA(1) = aste
HASTE = hēst
HASTEN = hēsen
HASTENED = hēsend
HASTENING = hēseniŋ
HASTENING(1) = hēsniŋ
HASTENS = hēsenz
HASTERT = hástert
HASTEY = hēsti
HASTIE = hēsti
HASTILY = hēsteli
HASTING = hēstiŋ
HASTINGS = hēstiŋz
HASTON = hásten
HASTY = hēsti
HASWELL = háswél
HASZ = haś
HAT = hát
HAT'S = háts
HATA = hate
HATALA = hátele
HATAWAY = hátewē
HATCH = hác
HATCH'S = háciz
HATCHBACK = hácbák
HATCHED = háct
HATCHEL = hácel
HATCHELL = hácel
HATCHER = hácer
HATCHERIES = háceriz
HATCHERY = háceri
HATCHES = háciz
HATCHET = hácet
HATCHETS = hácets
HATCHETT = hácit
HATCHING = háciŋ
HATE = hēt
HATED = hēted
HATED(1) = hētid
HATEFUL = hētfel
HATEM = hátim
HATER = hēter
HATERS = hēterz
HATES = hēts
HATFIELD = hátfíld
HATFIELD'S = hátfíldz
HATH = háŧ
HATHAWAY = háŧewē
HATHAWAY'S = háŧewēz
HATHCOAT = háŧkòt
HATHCOCK = háŧkek
HATHEWAY = hēđwē
HATHORN = haŧorn
HATHORNE = háŧern
HATING = hētiŋ
HATLER = hēteler
HATLER(1) = hētler
HATLESTAD = hátelsted
HATLEY = hátli
HATMAKER = hátmēker
HATON = hátón
HATON(1) = átón
HATRED = hētred
HATREDS = hētredz
HATRICK = hátrik
HATS = háts
HATT = hát
HATTABAUGH = hátebó
HATTAN = háten
HATTAWAY = hátewē
HATTEN = háten
HATTENDORF = hátindorf
HATTER = háter
HATTERAS = háteres
HATTERSLEY = háterzli
HATTERY = háteri
HATTIE = háti
HATTON = háten
HATTORI = hetori
HATTUSAS = hetúses
HATTY = háti
HATZ = háts
HAU = hà
HAUB = hób
HAUBER = hàber
HAUBERT = hàbert
HAUBNER = hàbner
HAUBRICH = hàbrik
HAUCH = hóc
HAUCK = hók
HAUENSTEIN = hàenstān
HAUENSTEIN(1) = hàenstin
HAUER = hàer
HAUETER = hàter
HAUF = hóf
HAUFER = hófer
HAUFF = hóf
HAUG = hóg
HAUGAN = hógen
HAUGE = hój
HAUGEN = hàgen
HAUGER = hàger
HAUGH = hó
HAUGHEY = hóki
HAUGHN = hón
HAUGHT = hót
HAUGHTILY = hótili
HAUGHTON = hóten
HAUGHTY = hóti
HAUGLAND = hóglend
HAUK = hók
HAUKE = hók
HAUL = hól
HAULED = hóld
HAULER = hóler
HAULERS = hólerz
HAULING = hóliŋ
HAULS = hólz
HAULSEY = hólsi
HAUN = hón
HAUNT = hónt
HAUNTED = hónted
HAUNTED(1) = hóntid
HAUNTING = hóntiŋ
HAUNTINGLY = hóntiŋli
HAUNTS = hónts
HAUPERT = hàpert
HAUPPAUGE = hàpój
HAUPT = hópt
HAUPTFUHRER = hàptfyurer
HAUPTMAN = hàptmen
HAUPTMANN = hàptmen
HAURY = hori
HAUS = hàs
HAUSA = hàse
HAUSAUER = hàsàer
HAUSCH = hàś
HAUSCHILD = hàscāld
HAUSCHILDT = hàśilt
HAUSE = hàs
HAUSEN = hàzen
HAUSER = hàzer
HAUSERMAN = hàzermen
HAUSFELD = hàsféld
HAUSKY = hóski
HAUSLER = hàseler
HAUSLER(1) = hàsler
HAUSMAN = hàsmen
HAUSMANN = hàsmen
HAUSNER = hàsner
HAUSS = hàs
HAUSSER = hàser
HAUSSLER = hàseler
HAUSSLER(1) = hàsler
HAUSSMANN = hàsmen
HAUSUMMI = hàsúmi
HAUSWIRTH = hàswerŧ
HAUT = hót
HAUTALA = hótele
HAUTE = hòt
HAUTE(1) = hat
HAUTER = hàter
HAUTH = hóŧ
HAUVER = hàver
HAVANA = heváne
HAVANA'S = hevánez
HAVARD = háverd
HAVAS = havez
HAVE = háv
HAVEL = hável
HAVELKA = hevélke
HAVELOCK = hávlok
HAVEMAN = hēvmen
HAVEMANN = hávemen
HAVEN = hēven
HAVEN'T = hávent
HAVEN'T(1) = háven
HAVENER = háviner
HAVENS = hēvenz
HAVER = héver
HAVERFIELD = háverfíld
HAVERFORD = háverferd
HAVERKAMP = háverkámp
HAVERLAND = háverlend
HAVERLY = hēverli
HAVERSTICK = hēverstik
HAVERSTOCK = hēverstek
HAVERTY = háverti
HAVES = hávz
HAVEY = hēvi
HAVIER = hávyer
HAVILAND = hēvilend
HAVILL = hevíl
HAVILLAND = hávelend
HAVIN' = hávin
HAVING = háviŋ
HAVINGTON = háviŋten
HAVINGTON'S = háviŋtenz
HAVINS = hávinz
HAVIS = hávis
HAVLICEK = havlicék
HAVLIK = hávlik
HAVLIN = hávlin
HAVNER = hávner
HAVOC = hávek
HAVRAN = hávren
HAVRANEK = hevránék
HAVRILLA = hávrile
HAVRON = hávren
HAW = hó
HAWAII = hewāí
HAWAII'S = hewāíz
HAWAIIAN = hewāen
HAWAIIANS = hewāenz
HAWASS = háwes
HAWBAKER = hóbēker
HAWE = hó
HAWES = hóz
HAWING = hóiŋ
HAWK = hók
HAWKBILL = hókbil
HAWKBILL'S = hókbilz
HAWKE = hók
HAWKE'S = hóks
HAWKED = hókt
HAWKEN = hóken
HAWKER = hóker
HAWKERS = hókerz
HAWKES = hóks
HAWKEY = hókí
HAWKEYE = hókā
HAWKEYE'S = hókāz
HAWKINESS = hóknes
HAWKING = hókiŋ
HAWKINS = hókinz
HAWKINS' = hókinz
HAWKINSON = hókinsen
HAWKISH = hókiś
HAWKS = hóks
HAWKSLEY = hóksli
HAWLEY = hóli
HAWLEY'S = hóliz
HAWN = hón
HAWORTH = háwerŧ
HAWS = hóz
HAWTHORN = hóŧorn
HAWTHORNE = hóŧorn
HAWTHORNE'S = hóŧornz
HAWTHORNS = hóŧornz
HAWVER = hóver
HAXTON = háksten
HAY = hē
HAYASHI = heyaśi
HAYASHIDA = heyeśíde
HAYCOCK = hēkok
HAYCRAFT = hēkráft
HAYDEL = hēdel
HAYDEN = hēden
HAYDN = hāden
HAYDN'S = hādenz
HAYDOCK = hēdok
HAYDON = hēden
HAYDU = hēdú
HAYDUK = hēdek
HAYE = hē
HAYEK = hēik
HAYEN = hēen
HAYENGA = hēēŋge
HAYER = hēer
HAYES = hēz
HAYFIELD = hēfíld
HAYFIELDS = hēfíldz
HAYFORD = hēferd
HAYGOOD = hēgud
HAYHURST = hēherst
HAYING = hēiŋ
HAYLES = hēlz
HAYLEY = hēli
HAYLOFT = hēlóft
HAYLOFTS = hēlófts
HAYMAKER = hēmēker
HAYMAKERS = hēmēkerz
HAYMAN = hēmen
HAYMARKET = hēmarkit
HAYMARKETS = hēmarkits
HAYMES = hēmz
HAYMON = hēmen
HAYMOND = hēmend
HAYMORE = hēmor
HAYN = hēn
HAYNE = hēn
HAYNER = hēner
HAYNES = hēnz
HAYNESWORTH = hēnzwerŧ
HAYNIE = hēni
HAYNSWORTH = hēnzwerŧ
HAYS = hēz
HAYSE = hēz
HAYSLETT = hēslit
HAYSLIP = hēslip
HAYSTACK = hēsták
HAYSTACKS = hēstáks
HAYTER = hēter
HAYTON = hēten
HAYWARD = hēwerd
HAYWARD'S = hēwerdz
HAYWIRE = hēwār
HAYWOOD = hēwud
HAYWORTH = hēwerŧ
HAZAN = hēzen
HAZARD = házerd
HAZARDOUS = házerdes
HAZARDS = házerdz
HAZE = hēz
HAZEL = hēzel
HAZELBAKER = hēzelbēker
HAZELETT = házilét
HAZELETT(1) = házlét
HAZELIP = házilip
HAZELL = házel
HAZELNUT = hēzelnat
HAZELNUTS = hēzelnats
HAZELRIGG = hezélrig
HAZELRIGG(1) = hēzélrig
HAZELTINE = hēzeltān
HAZELTON = hēzelten
HAZELWOOD = hēzelwud
HAZELWOOD'S = hēzelwudz
HAZEN = hēzen
HAZIER = hēzier
HAZING = hēziŋ
HAZLE = hēzel
HAZLETON = hēzelten
HAZLETT = házlit
HAZLEWOOD = hēzelwud
HAZY = hēzi
HAZZARD = házerd
HBO = ēcbiò
HBOX = ēcbóks
HCES = ēcsííés
HE = hí
HE'D = híd
HE'LL = híl
HE'S = híz
HEABERLIN = híberlin
HEACOCK = híkek
HEACOX = híkeks
HEAD = héd
HEAD'S = hédz
HEADACHE = hédēk
HEADACHES = hédēks
HEADBAND = hédbánd
HEADBANDS = hédbándz
HEADBOARD = hédbord
HEADBOARDS = hédbordz
HEADCHEESE = hédcíz
HEADCOUNT = hédkànt
HEADCOUNTS = hédkànts
HEADDRESS = hédrés
HEADDRESSES = héddrésez
HEADED = héded
HEADED(1) = hédid
HEADEN = héden
HEADER = héder
HEADERS = héderz
HEADFIRST = hédferst
HEADGEAR = hédgir
HEADHUNTER = hédhanter
HEADHUNTERS = hédhanterz
HEADING = hédiŋ
HEADINGS = hédiŋz
HEADINGTON = hédiŋten
HEADLEE = hédlí
HEADLESS = hédles
HEADLEY = hédli
HEADLIGHT = hédlāt
HEADLIGHTS = hédlāts
HEADLINE = hédlān
HEADLINED = hédlānd
HEADLINER = hédlāner
HEADLINERS = hédlānerz
HEADLINES = hédlānz
HEADLINING = hédlāniŋ
HEADLONG = hédlóŋ
HEADLUND = hédlend
HEADMAN = hédmen
HEADMASTER = hédmáster
HEADMASTERS = hédmásterz
HEADMISTRESS = hédmistres
HEADMISTRESSES = hédmistresez
HEADPHONE = hédfòn
HEADPHONES = hédfònz
HEADQUARTER = hédkworter
HEADQUARTER(1) = hédkorter
HEADQUARTERED = hédkorterd
HEADQUARTERED(1) = hédkworterd
HEADQUARTERS = hédkworterz
HEADQUARTERS(1) = hédkorterz
HEADREST = hédrést
HEADRESTS = hédrésts
HEADRICK = hédrik
HEADROOM = hédrúm
HEADS = hédz
HEADS-UP = hédzap
HEADSET = hédsét
HEADSETS = hédséts
HEADSHIP = hédśip
HEADSMAN = hédzmen
HEADSTART = hédstart
HEADSTARTS = hédstarts
HEADSTONE = hédstòn
HEADSTONES = hédstònz
HEADSTRONG = hédstróŋ
HEADWATER = hédwóter
HEADWATERS = hédwóterz
HEADWAY = hédwē
HEADWIND = hédwind
HEADWINDS = hédwindz
HEADY = hédi
